last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Cabrera, Miguel,408234,2016,679,484,.316,.329,-0.013,.563,.671,-0.108,.399,.446,-0.047
Ortiz, David,120074,2016,626,458,.315,.304,0.011,.620,.620,0.000,.419,.419,0.000
Trout, Mike,545361,2016,681,417,.315,.296,0.019,.550,.557,-0.007,.418,.418,0.000
Donaldson, Josh,518626,2016,700,463,.284,.275,0.009,.549,.545,0.004,.403,.400,0.003
Votto, Joey,458015,2016,677,444,.326,.298,0.028,.550,.528,0.022,.413,.397,0.016
Martinez, J.D.,502110,2016,517,337,.307,.292,0.015,.535,.568,-0.033,.384,.396,-0.012
Carpenter, Matt,572761,2016,566,372,.271,.283,-0.012,.505,.536,-0.031,.375,.393,-0.018
Cruz, Nelson,443558,2016,667,437,.287,.274,0.013,.555,.583,-0.028,.383,.392,-0.009
Murphy, Daniel,502517,2016,582,482,.347,.313,0.034,.595,.554,0.041,.408,.389,0.019
Freeman, Freddie,518692,2016,693,423,.302,.274,0.028,.569,.554,0.015,.402,.389,0.013
LeMahieu, DJ,518934,2016,635,486,.348,.332,0.016,.495,.483,0.012,.391,.386,0.005
Morales, Kendrys,434778,2016,618,443,.263,.286,-0.023,.468,.546,-0.078,.339,.383,-0.044
Santana, Carlos,467793,2016,688,488,.259,.273,-0.014,.498,.508,-0.010,.370,.382,-0.012
Bryant, Kris,592178,2016,699,452,.292,.264,0.028,.554,.540,0.014,.396,.381,0.015
Castellanos, Nick,592206,2016,447,305,.285,.286,-0.001,.496,.580,-0.084,.350,.381,-0.031
Yelich, Christian,592885,2016,659,445,.298,.298,0.000,.483,.499,-0.016,.367,.379,-0.012
Altuve, Jose,514888,2016,717,580,.338,.313,0.025,.531,.516,0.015,.391,.378,0.013
Encarnación, Edwin,429665,2016,702,472,.263,.261,0.002,.529,.532,-0.003,.373,.378,-0.005
Seager, Corey,608369,2016,687,496,.308,.302,0.006,.512,.517,-0.005,.372,.374,-0.002
Belt, Brandon,474832,2016,655,398,.275,.258,0.017,.474,.480,-0.006,.374,.374,-0.000
Seager, Kyle,572122,2016,676,491,.278,.287,-0.009,.499,.502,-0.003,.363,.372,-0.009
Céspedes, Yoenis,493316,2016,543,377,.280,.281,-0.001,.530,.523,0.007,.369,.371,-0.002
Butler, Billy,456714,2016,274,211,.284,.306,-0.022,.416,.513,-0.097,.324,.370,-0.046
Pearce, Steve,456665,2016,302,211,.288,.273,0.015,.492,.495,-0.003,.371,.369,0.002
Machado, Manny,592518,2016,696,525,.294,.289,0.005,.533,.522,0.011,.366,.366,0.000
Beltré, Adrián,134181,2016,640,520,.300,.288,0.012,.521,.505,0.016,.371,.365,0.006
Carter, Chris,474892,2016,644,353,.222,.235,-0.013,.499,.530,-0.031,.346,.365,-0.019
Trumbo, Mark,444432,2016,667,443,.256,.262,-0.006,.533,.538,-0.005,.358,.364,-0.006
Davis, Khris,501981,2016,610,394,.247,.248,-0.001,.524,.556,-0.032,.349,.364,-0.015
Goldschmidt, Paul,502671,2016,705,438,.297,.268,0.029,.489,.452,0.037,.381,.362,0.019
Correa, Carlos,621043,2016,660,441,.274,.280,-0.006,.451,.472,-0.021,.349,.362,-0.013
Martinez, Victor,400121,2016,610,466,.289,.283,0.006,.476,.502,-0.026,.351,.361,-0.010
Story, Trevor,596115,2016,415,245,.272,.258,0.014,.567,.521,0.046,.380,.360,0.020
Bour, Justin,571506,2016,321,227,.264,.273,-0.009,.475,.498,-0.023,.343,.360,-0.017
Longoria, Evan,446334,2016,685,496,.273,.266,0.007,.521,.533,-0.012,.350,.359,-0.009
Pujols, Albert,405395,2016,650,524,.268,.279,-0.011,.457,.510,-0.053,.331,.359,-0.028
Bautista, José,430832,2016,517,324,.234,.251,-0.017,.452,.430,0.022,.355,.359,-0.004
Rizzo, Anthony,519203,2016,676,478,.292,.258,0.034,.544,.475,0.069,.391,.357,0.034
Smith, Seth,452234,2016,438,293,.249,.264,-0.015,.415,.471,-0.056,.331,.357,-0.026
Healy, Ryon,592387,2016,283,210,.305,.289,0.016,.524,.507,0.017,.364,.354,0.010
Posey, Buster,457763,2016,614,479,.288,.282,0.006,.434,.470,-0.036,.341,.354,-0.013
Springer, George,543807,2016,744,467,.261,.256,0.005,.457,.461,-0.004,.353,.354,-0.001
Álvarez, Pedro,476883,2016,376,242,.249,.258,-0.009,.504,.493,0.011,.349,.354,-0.005
Blackmon, Charlie,453568,2016,641,483,.324,.290,0.034,.552,.472,0.080,.394,.353,0.041
Turner, Justin,457759,2016,622,457,.275,.274,0.001,.493,.481,0.012,.353,.353,-0.000
Santana, Domingo,570267,2016,281,156,.256,.265,-0.009,.447,.458,-0.011,.343,.353,-0.010
Gutierrez, Franklin,429711,2016,283,166,.246,.246,0.000,.452,.478,-0.026,.336,.353,-0.017
Grandal, Yasmani,518735,2016,457,275,.228,.233,-0.005,.477,.474,0.003,.350,.353,-0.003
Walker, Neil,435522,2016,458,331,.282,.269,0.013,.476,.485,-0.009,.351,.351,-0.000
Mauer, Joe,408045,2016,576,403,.261,.274,-0.013,.389,.440,-0.051,.327,.351,-0.024
Zobrist, Ben,450314,2016,631,449,.272,.271,0.001,.446,.409,0.037,.360,.350,0.010
Forsythe, Logan,523253,2016,567,386,.264,.270,-0.006,.444,.475,-0.031,.336,.350,-0.014
Joyce, Matt,459964,2016,293,164,.242,.219,0.023,.463,.407,0.056,.375,.350,0.025
Davis, Chris,448801,2016,665,350,.221,.218,0.003,.459,.486,-0.027,.340,.350,-0.010
Howard, Ryan,429667,2016,362,220,.196,.241,-0.045,.453,.531,-0.078,.298,.350,-0.052
